0 0 1 72 2 0 1
0 0 1 76 1 0 2
0 0 1 76 1 1 1
0 0 1 76 2 0 1
0 0 2 38 2 0 1
0 0 2 48 2 0 1
0 0 2 57 2 0 1
0 0 2 58 2 0 1
0 0 2 59 2 0 1
0 0 2 72 0 0 1
0 0 2 76 2 0 1
0 0 3 28 2 0 1
0 0 3 30 0 0 1
0 0 3 76 1 0 1
0 0 3 76 2 0 2
0 0 3 76 2 1 1
0 0 4 44 2 0 2
0 0 4 44 2 1 1
0 0 4 46 2 0 1
0 0 4 48 2 0 1
0 0 4 50 0 0 1
0 0 4 76 0 0 1
0 0 4 76 1 0 1
0 0 4 76 2 0 1
0 0 5 17 2 0 1
0 0 5 44 2 0 1
0 0 5 76 2 0 4
0 0 5 76 2 1 1
0 0 6 40 2 0 1
0 0 6 49 1 0 1
0 0 6 66 0 0 1
0 0 6 76 2 0 2
0 0 6 76 2 1 1
0 0 7 38 2 0 1
0 0 7 40 2 0 2
0 0 7 40 2 1 1
0 0 7 45 0 0 1
0 0 7 65 2 0 1
0 0 7 72 2 0 1
0 0 7 76 2 0 1
0 0 8 30 2 0 1
0 0 8 33 2 0 1
0 0 8 56 2 0 1
0 0 8 76 0 0 2
0 0 8 76 0 1 1
0 0 8 76 1 0 4
0 0 8 76 2 0 3
0 0 9 21 2 0 1
0 0 9 45 1 0 1
0 0 9 58 2 0 1
0 0 9 76 2 0 5
0 0 9 76 2 1 2
0 0 9 76 2 2 1
0 0 10 48 0 0 1
0 0 10 65 2 0 1
0 0 10 76 1 0 2
0 0 10 76 1 1 1
0 0 10 76 2 0 3
0 0 10 76 2 1 1
0 0 11 29 1 0 1
0 0 11 76 1 0 2
0 0 11 76 1 1 1
0 0 11 76 2 0 3
0 0 11 76 2 1 1
0 0 12 45 1 0 1
0 0 12 47 2 0 1
0 0 12 49 1 0 1
0 0 12 66 0 0 1
0 0 12 66 1 0 1
0 0 12 76 1 0 2
0 0 12 76 1 1 1
0 0 12 76 2 0 1
0 0 13 38 1 0 1
0 0 13 38 2 0 1
0 0 13 41 2 0 1
0 0 13 50 1 0 1
0 0 13 59 2 0 1
0 0 13 72 2 0 1
0 0 13 76 1 0 4
0 0 13 76 1 1 2
0 0 13 76 1 2 1
0 0 13 76 2 0 2
0 0 14 38 0 0 1
0 0 14 47 2 0 1
0 0 14 49 2 0 1
0 0 14 50 2 0 1
0 0 14 56 2 0 1
0 0 14 76 2 0 6
0 0 14 76 2 1 2
0 0 14 76 2 2 1
0 0 15 27 0 0 1
0 0 15 31 0 0 1
0 0 15 58 0 0 1
0 0 15 58 2 0 1
0 0 15 66 1 0 1
0 0 15 66 2 0 1
0 0 15 76 1 0 1
0 0 15 76 2 0 2
0 0 15 76 2 1 1
0 0 16 38 2 0 1
