226 5
0 -22.812338 -43.344240 0 2.3278911073276554 0.44676650793778944 1.9917458849700964 5.163276505969501 0.0 53 2.464 43 2.305 200 2.460 
1 -22.900643 -43.669066 0 0.21298228294200944 2.810340010213456 1.577856970410034 0.924074971243713 0.0 15 2.414 6 2.504 44 2.504 207 2.518 64 2.413 48 2.519 
2 -22.975634 -43.692286 0 0.12180373692497676 0.4275409664918434 4.80714575087993 2.3984097391863943 0.0 78 2.460 113 2.372 94 2.472 
3 -22.932376 -43.282618 0 0.008716845756414203 5.7019677665783615 0.05580215582733539 2.0813498665672814 0.0 100 2.413 60 2.413 219 2.506 129 2.506 28 2.516 92 2.516 
4 -22.885727 -43.410577 0 0.5842831835074909 1.4000849359765555 3.703600901555246 2.9689083134909584 0.0 184 2.518 133 2.414 63 2.518 121 2.506 128 2.506 157 2.415 
5 -22.915506 -43.518859 0 0.06308902806881228 2.9120334183817285 2.3366248216902825 1.4618839879309808 0.0 205 2.413 208 2.517 37 2.505 152 2.518 158 2.414 147 2.505 
6 -22.910909 -43.690827 0 0.6781318661286645 1.3444757940561938 3.4840218632780675 0.9212468295191617 0.0 1 2.504 64 2.518 10 2.503 155 2.413 48 2.413 225 2.518 
7 -22.934928 -43.605379 0 0.04668393846858997 4.8280201092683335 0.7694400786006496 1.79873241582822 0.0 55 2.504 135 2.518 80 2.412 103 2.504 197 2.517 119 2.413 
8 -22.891527 -43.604315 0 0.1408384104617471 0.8644791790470285 4.277046857531577 3.2184554984974127 0.0 12 2.518 98 2.392 24 2.505 196 2.518 176 2.505 119 2.414 
9 -22.951924 -43.369150 0 1.1557464905148134 1.1735420928777087 2.688722553557334 5.0505060135113276 0.0 134 2.505 141 2.516 169 2.412 170 2.516 224 2.413 160 2.505 
10 -22.921170 -43.712589 0 0.9574460213987532 4.264710041214605 0.4726010441144715 0.9211223080106976 0.0 96 2.518 6 2.503 65 2.503 155 2.518 90 2.413 225 2.413 
11 -22.840080 -43.495513 0 0.19111258269883108 4.907968614790548 0.6073869619483364 3.260256255453734 0.0 164 2.506 163 2.415 13 2.391 193 2.518 180 1.880 
12 -22.902953 -43.583085 0 0.5822916128314221 0.2527661738881518 4.302916505072932 2.9317359411501007 0.0 55 2.413 8 2.518 159 2.505 176 2.414 119 2.504 213 2.518 
